area,year,sex,age,educational_attainment,,value
czechia,2001,female,40 - 44,second level,,285790
czechia,2001,female,40 - 44,third level,,43330
czechia,2001,female,45 - 49,first level,,818
czechia,2001,female,45 - 49,second level,,349654
czechia,2001,female,45 - 49,third level,,40005
czechia,2001,female,50 - 54,first level,,804
czechia,2001,female,50 - 54,second level,,372260
czechia,2001,female,50 - 54,third level,,33919
czechia,2001,female,55 - 59,first level,,716
czechia,2001,female,55 - 59,second level,,294562
czechia,2001,female,55 - 59,third level,,32836
czechia,2001,female,60 - 64,first level,,787
czechia,2001,female,60 - 64,second level,,232691
czechia,2001,female,60 - 64,third level,,16788
czechia,2001,female,65 - 69,first level,,1159
czechia,2001,female,65 - 69,second level,,225319
czechia,2001,female,65 - 69,third level,,13148
czechia,2001,female,70 - 74,first level,,1339
czechia,2001,female,70 - 74,second level,,227336
czechia,2001,female,70 - 74,third level,,9120
czechia,2001,female,75 - 79,first level,,1496
czechia,2001,female,75 - 79,second level,,196718
czechia,2001,female,75 - 79,third level,,6079
czechia,2001,female,80 - 84,first level,,889
czechia,2001,female,80 - 84,second level,,84281
czechia,2001,female,80 - 84,third level,,2203
dominica,2001,male,15 - 19,first level,,1021
dominica,2001,male,15 - 19,second level,,1990
dominica,2001,male,15 - 19,third level,,193
dominica,2001,male,20 - 24,first level,,945
dominica,2001,male,20 - 24,second level,,879
dominica,2001,male,20 - 24,third level,,444
dominica,2001,male,55 - 59,first level,,875
dominica,2001,male,55 - 59,second level,,98
dominica,2001,male,55 - 59,third level,,114
dominica,2001,male,60 - 64,first level,,764
dominica,2001,male,60 - 64,second level,,56
dominica,2001,male,60 - 64,third level,,79
dominica,2001,female,15 - 19,first level,,487
dominica,2001,female,15 - 19,second level,,2348
dominica,2001,female,15 - 19,third level,,366
dominica,2001,female,20 - 24,first level,,439
dominica,2001,female,20 - 24,second level,,1107
dominica,2001,female,20 - 24,third level,,497
dominica,2001,female,55 - 59,first level,,921
dominica,2001,female,55 - 59,second level,,110
dominica,2001,female,55 - 59,third level,,75
dominica,2001,female,60 - 64,first level,,983
dominica,2001,female,60 - 64,second level,,78
dominica,2001,female,60 - 64,third level,,61
ecuador,2001,male,15 - 19,first level,,208665
ecuador,2001,male,15 - 19,second level,,308846
ecuador,2001,male,15 - 19,third level,,28323
ecuador,2001,male,20 - 24,first level,,192289
ecuador,2001,male,20 - 24,second level,,194500
ecuador,2001,male,20 - 24,third level,,95808
ecuador,2001,male,55 - 59,first level,,90637
ecuador,2001,male,55 - 59,second level,,21913
ecuador,2001,male,55 - 59,third level,,18076
ecuador,2001,male,60 - 64,first level,,79035
ecuador,2001,male,60 - 64,second level,,16289
ecuador,2001,male,60 - 64,third level,,11494
ecuador,2001,female,15 - 19,first level,,201323
ecuador,2001,female,15 - 19,second level,,317929
ecuador,2001,female,15 - 19,third level,,37435
ecuador,2001,female,20 - 24,first level,,189152
ecuador,2001,female,20 - 24,second level,,199028
ecuador,2001,female,20 - 24,third level,,118953
ecuador,2001,female,55 - 59,first level,,86845
ecuador,2001,female,55 - 59,second level,,27044
ecuador,2001,female,55 - 59,third level,,9932
ecuador,2001,female,60 - 64,first level,,74397
ecuador,2001,female,60 - 64,second level,,20731
ecuador,2001,female,60 - 64,third level,,5750
ecuador,2001,male,15 - 19,first level,,87372
ecuador,2001,male,15 - 19,second level,,224511
ecuador,2001,male,15 - 19,third level,,24286
ecuador,2001,male,20 - 24,first level,,85819
ecuador,2001,male,20 - 24,second level,,144517
ecuador,2001,male,20 - 24,third level,,83357
ecuador,2001,male,55 - 59,first level,,49396
ecuador,2001,male,55 - 59,second level,,18576
ecuador,2001,male,55 - 59,third level,,16052
ecuador,2001,male,60 - 64,first level,,42919
ecuador,2001,male,60 - 64,second level,,13551
ecuador,2001,male,60 - 64,third level,,10164
ecuador,2001,female,15 - 19,first level,,87109
ecuador,2001,female,15 - 19,second level,,235453
ecuador,2001,female,15 - 19,third level,,32059
ecuador,2001,female,20 - 24,first level,,84914
ecuador,2001,female,20 - 24,second level,,149810
ecuador,2001,female,20 - 24,third level,,103496
ecuador,2001,female,55 - 59,first level,,53062
ecuador,2001,female,55 - 59,second level,,23695
ecuador,2001,female,55 - 59,third level,,8998
ecuador,2001,female,60 - 64,first level,,45885
ecuador,2001,female,60 - 64,second level,,18082
ecuador,2001,female,60 - 64,third level,,5166
ecuador,2001,male,15 - 19,first level,,121293
ecuador,2001,male,15 - 19,second level,,84335
ecuador,2001,male,15 - 19,third level,,4037
ecuador,2001,male,20 - 24,first level,,106470
ecuador,2001,male,20 - 24,second level,,49983
ecuador,2001,male,20 - 24,third level,,12451
ecuador,2001,male,55 - 59,first level,,41241
ecuador,2001,male,55 - 59,second level,,3337
ecuador,2001,male,55 - 59,third level,,2024
ecuador,2001,male,60 - 64,first level,,36116
ecuador,2001,male,60 - 64,second level,,2738
ecuador,2001,male,60 - 64,third level,,1330
ecuador,2001,female,15 - 19,first level,,114214
ecuador,2001,female,15 - 19,second level,,82476
ecuador,2001,female,15 - 19,third level,,5376
ecuador,2001,female,20 - 24,first level,,104238
ecuador,2001,female,20 - 24,second level,,49218
ecuador,2001,female,20 - 24,third level,,15457
ecuador,2001,female,55 - 59,first level,,33783
ecuador,2001,female,55 - 59,second level,,3349
ecuador,2001,female,55 - 59,third level,,934
ecuador,2001,female,60 - 64,first level,,28512
ecuador,2001,female,60 - 64,second level,,2649
ecuador,2001,female,60 - 64,third level,,584
estonia,2000,male,20 - 24,first level,,14684
estonia,2000,male,20 - 24,second level,,23375
estonia,2000,male,20 - 24,third level,,8220
estonia,2000,male,55 - 59,first level,,13234
estonia,2000,male,55 - 59,second level,,7385
estonia,2000,male,55 - 59,third level,,11198
estonia,2000,male,60 - 64,first level,,15391
estonia,2000,male,60 - 64,second level,,5879
estonia,2000,male,60 - 64,third level,,12274
estonia,2000,female,20 - 24,first level,,7241
estonia,2000,female,20 - 24,second level,,27158
estonia,2000,female,20 - 24,third level,,10316
estonia,2000,female,55 - 59,first level,,11372
estonia,2000,female,55 - 59,second level,,12742
estonia,2000,female,55 - 59,third level,,16310
estonia,2000,female,60 - 64,first level,,17721
estonia,2000,female,60 - 64,second level,,10905
estonia,2000,female,60 - 64,third level,,18055
fiji,1996,male,15 - 19,first level,,2645
fiji,1996,male,15 - 19,second level,,39415
fiji,1996,male,15 - 19,third level,,768
fiji,1996,male,20 - 24,first level,,2871
fiji,1996,male,20 - 24,second level,,25853
fiji,1996,male,20 - 24,third level,,5641
fiji,1996,male,25 - 29,first level,,3089
fiji,1996,male,25 - 29,second level,,23816
fiji,1996,male,25 - 29,third level,,4315
fiji,1996,male,30 - 34,first level,,3350
fiji,1996,male,30 - 34,second level,,24086
fiji,1996,male,30 - 34,third level,,3259
fiji,1996,male,35 - 39,first level,,3818
fiji,1996,male,35 - 39,second level,,21626
fiji,1996,male,35 - 39,third level,,3066
fiji,1996,male,40 - 44,first level,,4234
fiji,1996,male,40 - 44,second level,,15003
fiji,1996,male,40 - 44,third level,,2580
fiji,1996,male,45 - 49,first level,,4555
fiji,1996,male,45 - 49,second level,,11519
fiji,1996,male,45 - 49,third level,,1798
fiji,1996,male,50 - 54,first level,,4572
fiji,1996,male,50 - 54,second level,,8043
fiji,1996,male,50 - 54,third level,,1073
fiji,1996,male,55 - 59,first level,,4631
fiji,1996,male,55 - 59,second level,,4960
fiji,1996,male,55 - 59,third level,,718
fiji,1996,male,60 - 64,first level,,3779
fiji,1996,male,60 - 64,second level,,2884
fiji,1996,male,60 - 64,third level,,435
fiji,1996,male,65 - 69,first level,,2778
fiji,1996,male,65 - 69,second level,,1529
fiji,1996,male,65 - 69,third level,,303
fiji,1996,male,70 - 74,first level,,1704
fiji,1996,male,70 - 74,second level,,783
fiji,1996,male,70 - 74,third level,,181
fiji,1996,female,15 - 19,first level,,1463
fiji,1996,female,15 - 19,second level,,38553
fiji,1996,female,15 - 19,third level,,837
fiji,1996,female,20 - 24,first level,,1824
fiji,1996,female,20 - 24,second level,,25634
fiji,1996,female,20 - 24,third level,,5030
fiji,1996,female,25 - 29,first level,,2317
fiji,1996,female,25 - 29,second level,,24946
fiji,1996,female,25 - 29,third level,,3097
fiji,1996,female,30 - 34,first level,,2693
fiji,1996,female,30 - 34,second level,,25084
fiji,1996,female,30 - 34,third level,,2319
fiji,1996,female,35 - 39,first level,,3683
fiji,1996,female,35 - 39,second level,,21532
fiji,1996,female,35 - 39,third level,,2029
fiji,1996,female,40 - 44,first level,,4567
fiji,1996,female,40 - 44,second level,,14465
fiji,1996,female,40 - 44,third level,,1601
fiji,1996,female,45 - 49,first level,,5268
fiji,1996,female,45 - 49,second level,,10588
fiji,1996,female,45 - 49,third level,,1053
fiji,1996,female,50 - 54,first level,,5435
fiji,1996,female,50 - 54,second level,,6647
fiji,1996,female,50 - 54,third level,,669
fiji,1996,female,55 - 59,first level,,5358
fiji,1996,female,55 - 59,second level,,3926
fiji,1996,female,55 - 59,third level,,472
fiji,1996,female,60 - 64,first level,,4069
fiji,1996,female,60 - 64,second level,,2126
fiji,1996,female,60 - 64,third level,,279
fiji,1996,female,65 - 69,first level,,2964
fiji,1996,female,65 - 69,second level,,1134
fiji,1996,female,65 - 69,third level,,195
fiji,1996,female,70 - 74,first level,,1761
fiji,1996,female,70 - 74,second level,,614
fiji,1996,female,70 - 74,third level,,137
finland,2000,male,15 - 19,first level,,145148
finland,2000,male,15 - 19,second level,,24462
finland,2000,male,15 - 19,third level,,7
finland,2000,male,20 - 24,first level,,33523
finland,2000,male,20 - 24,second level,,126301
finland,2000,male,20 - 24,third level,,7260
finland,2000,male,55 - 59,first level,,69768
finland,2000,male,55 - 59,second level,,43619
finland,2000,male,55 - 59,third level,,40641
finland,2000,male,60 - 64,first level,,70010
finland,2000,male,60 - 64,second level,,27569
finland,2000,male,60 - 64,third level,,25538
finland,2000,female,15 - 19,first level,,137950
finland,2000,female,15 - 19,second level,,24201
finland,2000,female,15 - 19,third level,,10
finland,2000,female,20 - 24,first level,,21604
finland,2000,female,20 - 24,second level,,119650
finland,2000,female,20 - 24,third level,,18892
finland,2000,female,55 - 59,first level,,70566
finland,2000,female,55 - 59,second level,,48005
finland,2000,female,55 - 59,third level,,37484
finland,2000,female,60 - 64,first level,,77307
finland,2000,female,60 - 64,second level,,34466
finland,2000,female,60 - 64,third level,,22026
germany,2001,male,15 - 19,first level,,2101600
germany,2001,male,15 - 19,second level,,134600
germany,2001,male,15 - 19,third level,,1000
germany,2001,male,20 - 24,first level,,565900
germany,2001,male,20 - 24,second level,,1609800
germany,2001,male,20 - 24,third level,,60100
germany,2001,male,25 - 29,first level,,318500
germany,2001,male,25 - 29,second level,,1531900
germany,2001,male,25 - 29,third level,,369900
germany,2001,male,30 - 34,first level,,349100
germany,2001,male,30 - 34,second level,,1798400
germany,2001,male,30 - 34,third level,,855700
germany,2001,male,35 - 39,first level,,413600
germany,2001,male,35 - 39,second level,,1969900
germany,2001,male,35 - 39,third level,,1027500
germany,2001,male,40 - 44,first level,,362200
germany,2001,male,40 - 44,second level,,1806800
germany,2001,male,40 - 44,third level,,909500
germany,2001,male,45 - 49,first level,,313600
germany,2001,male,45 - 49,second level,,1610300
germany,2001,male,45 - 49,third level,,852400
germany,2001,male,50 - 54,first level,,318200
germany,2001,male,50 - 54,second level,,1427000
germany,2001,male,50 - 54,third level,,777000
germany,2001,male,55 - 59,first level,,316600
germany,2001,male,55 - 59,second level,,1297900
germany,2001,male,55 - 59,third level,,710500
germany,2001,male,60 - 64,first level,,442100
germany,2001,male,60 - 64,second level,,1543800
germany,2001,male,60 - 64,third level,,727700
germany,2001,male,65 - 69,first level,,350400
germany,2001,male,65 - 69,second level,,1112500
germany,2001,male,65 - 69,third level,,462900
germany,2001,male,70 - 74,first level,,298100
germany,2001,male,70 - 74,second level,,861500
germany,2001,male,70 - 74,third level,,353500
germany,2001,male,75 - 79,first level,,185200
germany,2001,male,75 - 79,second level,,546100
germany,2001,male,75 - 79,third level,,204900
germany,2001,male,80 - 84,first level,,87000
germany,2001,male,80 - 84,second level,,253000
germany,2001,male,80 - 84,third level,,91900
germany,2001,female,15 - 19,first level,,1995000
germany,2001,female,15 - 19,second level,,164800
germany,2001,female,15 - 19,third level,,1000
germany,2001,female,20 - 24,first level,,559300
germany,2001,female,20 - 24,second level,,1484500
germany,2001,female,20 - 24,third level,,104800
germany,2001,female,25 - 29,first level,,359100
germany,2001,female,25 - 29,second level,,1416600
germany,2001,female,25 - 29,third level,,392600
germany,2001,female,30 - 34,first level,,461700
germany,2001,female,30 - 34,second level,,1876900
germany,2001,female,30 - 34,third level,,647400
germany,2001,female,35 - 39,first level,,533000
germany,2001,female,35 - 39,second level,,2049700
germany,2001,female,35 - 39,third level,,698800
germany,2001,female,40 - 44,first level,,528100
germany,2001,female,40 - 44,second level,,1858000
germany,2001,female,40 - 44,third level,,658100
germany,2001,female,45 - 49,first level,,555000
germany,2001,female,45 - 49,second level,,1689600
germany,2001,female,45 - 49,third level,,565600
germany,2001,female,50 - 54,first level,,620600
germany,2001,female,50 - 54,second level,,1480200
germany,2001,female,50 - 54,third level,,417200
germany,2001,female,55 - 59,first level,,646000
germany,2001,female,55 - 59,second level,,1346800
germany,2001,female,55 - 59,third level,,331000
germany,2001,female,60 - 64,first level,,1056100
germany,2001,female,60 - 64,second level,,1476800
germany,2001,female,60 - 64,third level,,279500
germany,2001,female,65 - 69,first level,,1030900
germany,2001,female,65 - 69,second level,,938600
germany,2001,female,65 - 69,third level,,152400
germany,2001,female,70 - 74,first level,,1047000
germany,2001,female,70 - 74,second level,,778800
germany,2001,female,70 - 74,third level,,113000
germany,2001,female,75 - 79,first level,,925700
germany,2001,female,75 - 79,second level,,720200
germany,2001,female,75 - 79,third level,,91600
germany,2001,female,80 - 84,first level,,551000
germany,2001,female,80 - 84,second level,,348000
germany,2001,female,80 - 84,third level,,39700
greece,2001,male,15 - 19,first level,,51975
greece,2001,male,15 - 19,second level,,322984
greece,2001,male,15 - 19,third level,,0
greece,2001,male,20 - 24,first level,,51159
greece,2001,male,20 - 24,second level,,338912
greece,2001,male,20 - 24,third level,,37667
greece,2001,male,25 - 29,first level,,55951
greece,2001,male,25 - 29,second level,,280961
greece,2001,male,25 - 29,third level,,89550
greece,2001,male,30 - 34,first level,,70484
greece,2001,male,30 - 34,second level,,262771
greece,2001,male,30 - 34,third level,,98676
greece,2001,male,35 - 39,first level,,80961
greece,2001,male,35 - 39,second level,,213133
greece,2001,male,35 - 39,third level,,89631
greece,2001,male,40 - 44,first level,,108580
greece,2001,male,40 - 44,second level,,182471
greece,2001,male,40 - 44,third level,,87513
greece,2001,male,45 - 49,first level,,122522
greece,2001,male,45 - 49,second level,,148072
greece,2001,male,45 - 49,third level,,75741
greece,2001,male,50 - 54,first level,,148432
greece,2001,male,50 - 54,second level,,114864
greece,2001,male,50 - 54,third level,,62366
greece,2001,male,55 - 59,first level,,135457
greece,2001,male,55 - 59,second level,,78709
greece,2001,male,55 - 59,third level,,40723
greece,2001,male,60 - 64,first level,,150150
greece,2001,male,60 - 64,second level,,73657
greece,2001,male,60 - 64,third level,,35940
greece,2001,male,65 - 69,first level,,128145
greece,2001,male,65 - 69,second level,,62595
greece,2001,male,65 - 69,third level,,27804
greece,2001,male,70 - 74,first level,,117869
greece,2001,male,70 - 74,second level,,43352
greece,2001,male,70 - 74,third level,,18292
greece,2001,male,75 - 79,first level,,76897
greece,2001,male,75 - 79,second level,,23006
greece,2001,male,75 - 79,third level,,10749
greece,2001,male,80 - 84,first level,,39424
greece,2001,male,80 - 84,second level,,12204
greece,2001,male,80 - 84,third level,,5823
greece,2001,female,15 - 19,first level,,33487
greece,2001,female,15 - 19,second level,,307439
greece,2001,female,15 - 19,third level,,0
greece,2001,female,20 - 24,first level,,30831
greece,2001,female,20 - 24,second level,,316208
greece,2001,female,20 - 24,third level,,44885
greece,2001,female,25 - 29,first level,,39599
greece,2001,female,25 - 29,second level,,258614
greece,2001,female,25 - 29,third level,,106240
greece,2001,female,30 - 34,first level,,60694
greece,2001,female,30 - 34,second level,,247252
greece,2001,female,30 - 34,third level,,113102
greece,2001,female,35 - 39,first level,,91159
greece,2001,female,35 - 39,second level,,204090
greece,2001,female,35 - 39,third level,,87911
greece,2001,female,40 - 44,first level,,133020
greece,2001,female,40 - 44,second level,,181577
greece,2001,female,40 - 44,third level,,70044
greece,2001,female,45 - 49,first level,,148104
greece,2001,female,45 - 49,second level,,141793
greece,2001,female,45 - 49,third level,,55202
greece,2001,female,50 - 54,first level,,185140
greece,2001,female,50 - 54,second level,,102434
greece,2001,female,50 - 54,third level,,40336
greece,2001,female,55 - 59,first level,,160353
greece,2001,female,55 - 59,second level,,67586
greece,2001,female,55 - 59,third level,,22145
greece,2001,female,60 - 64,first level,,165732
greece,2001,female,60 - 64,second level,,63312
greece,2001,female,60 - 64,third level,,16430
greece,2001,female,65 - 69,first level,,129761
greece,2001,female,65 - 69,second level,,49140
greece,2001,female,65 - 69,third level,,10311
greece,2001,female,70 - 74,first level,,129002
greece,2001,female,70 - 74,second level,,36352
greece,2001,female,70 - 74,third level,,6856
greece,2001,female,75 - 79,first level,,82065
greece,2001,female,75 - 79,second level,,19890
greece,2001,female,75 - 79,third level,,3786
greece,2001,female,80 - 84,first level,,41026
greece,2001,female,80 - 84,second level,,11054
greece,2001,female,80 - 84,third level,,2048
hungary,2001,male,15 - 19,first level,,116553
hungary,2001,male,15 - 19,second level,,218103
hungary,2001,male,15 - 19,third level,,4400
hungary,2001,male,20 - 24,first level,,78477
hungary,2001,male,20 - 24,second level,,257064
hungary,2001,male,20 - 24,third level,,77001
hungary,2001,male,25 - 29,first level,,81899
hungary,2001,male,25 - 29,second level,,253017
hungary,2001,male,25 - 29,third level,,63544
hungary,2001,male,30 - 34,first level,,70606
hungary,2001,male,30 - 34,second level,,230285
hungary,2001,male,30 - 34,third level,,52331
hungary,2001,male,35 - 39,first level,,58777
hungary,2001,male,35 - 39,second level,,198447
hungary,2001,male,35 - 39,third level,,45068
hungary,2001,male,40 - 44,first level,,75649
hungary,2001,male,40 - 44,second level,,222055
hungary,2001,male,40 - 44,third level,,48237
hungary,2001,male,45 - 49,first level,,91651
hungary,2001,male,45 - 49,second level,,248225
hungary,2001,male,45 - 49,third level,,57682
hungary,2001,male,50 - 54,first level,,84888
hungary,2001,male,50 - 54,second level,,194483
hungary,2001,male,50 - 54,third level,,54567
hungary,2001,male,55 - 59,first level,,126790
hungary,2001,male,55 - 59,second level,,103206
hungary,2001,male,55 - 59,third level,,47751
hungary,2001,male,60 - 64,first level,,152547
hungary,2001,male,60 - 64,second level,,43528
hungary,2001,male,60 - 64,third level,,31718
hungary,2001,male,65 - 69,first level,,139747
hungary,2001,male,65 - 69,second level,,31612
hungary,2001,male,65 - 69,third level,,29336
hungary,2001,male,70 - 74,first level,,115500
hungary,2001,male,70 - 74,second level,,26842
hungary,2001,male,70 - 74,third level,,25092
hungary,2001,male,75 - 79,first level,,85732
hungary,2001,male,75 - 79,second level,,17501
hungary,2001,male,75 - 79,third level,,14637
hungary,2001,male,80 - 84,first level,,36119
hungary,2001,male,80 - 84,second level,,7087
hungary,2001,male,80 - 84,third level,,5992
hungary,2001,female,15 - 19,first level,,102692
hungary,2001,female,15 - 19,second level,,216262
hungary,2001,female,15 - 19,third level,,6805
hungary,2001,female,20 - 24,first level,,61147
hungary,2001,female,20 - 24,second level,,231966
hungary,2001,female,20 - 24,third level,,100027
hungary,2001,female,25 - 29,first level,,72974
hungary,2001,female,25 - 29,second level,,230280
hungary,2001,female,25 - 29,third level,,81608
hungary,2001,female,30 - 34,first level,,73891
hungary,2001,female,30 - 34,second level,,204952
hungary,2001,female,30 - 34,third level,,65114
hungary,2001,female,35 - 39,first level,,71254
hungary,2001,female,35 - 39,second level,,173428
hungary,2001,female,35 - 39,third level,,57972
hungary,2001,female,40 - 44,first level,,110974
hungary,2001,female,40 - 44,second level,,185547
hungary,2001,female,40 - 44,third level,,61492
hungary,2001,female,45 - 49,first level,,153670
hungary,2001,female,45 - 49,second level,,204164
hungary,2001,female,45 - 49,third level,,64778
hungary,2001,female,50 - 54,first level,,146843
hungary,2001,female,50 - 54,second level,,170651
hungary,2001,female,50 - 54,third level,,48870
hungary,2001,female,55 - 59,first level,,184878
hungary,2001,female,55 - 59,second level,,102353
hungary,2001,female,55 - 59,third level,,39674
hungary,2001,female,60 - 64,first level,,214788
hungary,2001,female,60 - 64,second level,,65847
hungary,2001,female,60 - 64,third level,,21770
hungary,2001,female,65 - 69,first level,,226764
hungary,2001,female,65 - 69,second level,,42307
hungary,2001,female,65 - 69,third level,,15414
hungary,2001,female,70 - 74,first level,,224867
hungary,2001,female,70 - 74,second level,,30134
hungary,2001,female,70 - 74,third level,,11222
hungary,2001,female,75 - 79,first level,,192716
hungary,2001,female,75 - 79,second level,,19186
hungary,2001,female,75 - 79,third level,,6244
hungary,2001,female,80 - 84,first level,,92108
hungary,2001,female,80 - 84,second level,,8604
hungary,2001,female,80 - 84,third level,,2892
iran (islamic republic of),1996,male,15 - 19,first level,,29121
iran (islamic republic of),1996,male,15 - 19,second level,,1837273
iran (islamic republic of),1996,male,15 - 19,third level,,84258
iran (islamic republic of),1996,male,20 - 24,first level,,4575
iran (islamic republic of),1996,male,20 - 24,second level,,155524
iran (islamic republic of),1996,male,20 - 24,third level,,270564
iran (islamic republic of),1996,female,15 - 19,first level,,26329
iran (islamic republic of),1996,female,15 - 19,second level,,1561661
iran (islamic republic of),1996,female,15 - 19,third level,,82512
iran (islamic republic of),1996,female,20 - 24,first level,,6011
iran (islamic republic of),1996,female,20 - 24,second level,,122871
iran (islamic republic of),1996,female,20 - 24,third level,,217233
ireland,2011,male,15 - 19,first level,,17928
ireland,2011,male,15 - 19,second level,,108750
ireland,2011,male,15 - 19,third level,,1988
ireland,2011,male,20 - 24,first level,,5939
ireland,2011,male,20 - 24,second level,,99036
ireland,2011,male,20 - 24,third level,,34723
ireland,2011,male,25 - 29,first level,,8191
ireland,2011,male,25 - 29,second level,,94234
ireland,2011,male,25 - 29,third level,,63352
ireland,2011,male,30 - 34,first level,,9743
ireland,2011,male,30 - 34,second level,,101679
ireland,2011,male,30 - 34,third level,,75343
ireland,2011,male,35 - 39,first level,,11000
ireland,2011,male,35 - 39,second level,,96313
ireland,2011,male,35 - 39,third level,,68033
ireland,2011,male,40 - 44,first level,,11255
ireland,2011,male,40 - 44,second level,,95919
ireland,2011,male,40 - 44,third level,,52924
ireland,2011,male,45 - 49,first level,,13898
ireland,2011,male,45 - 49,second level,,92100
ireland,2011,male,45 - 49,third level,,40424
ireland,2011,male,50 - 54,first level,,17665
ireland,2011,male,50 - 54,second level,,81786
ireland,2011,male,50 - 54,third level,,32431
ireland,2011,male,55 - 59,first level,,27172
ireland,2011,male,55 - 59,second level,,64693
ireland,2011,male,55 - 59,third level,,25690
ireland,2011,male,60 - 64,first level,,38751
ireland,2011,male,60 - 64,second level,,46487
ireland,2011,male,60 - 64,third level,,19326
ireland,2011,male,65 - 69,first level,,35271
ireland,2011,male,65 - 69,second level,,32245
ireland,2011,male,65 - 69,third level,,13353
ireland,2011,male,70 - 74,first level,,28765
ireland,2011,male,70 - 74,second level,,21363
ireland,2011,male,70 - 74,third level,,8376
ireland,2011,male,75 - 79,first level,,22839
ireland,2011,male,75 - 79,second level,,14318
ireland,2011,male,75 - 79,third level,,5487
ireland,2011,male,80 - 84,first level,,14952
ireland,2011,male,80 - 84,second level,,7700
ireland,2011,male,80 - 84,third level,,3018
ireland,2011,male,85 - 89,first level,,7180
ireland,2011,male,85 - 89,second level,,3557
ireland,2011,male,85 - 89,third level,,1384
ireland,2011,male,90 - 94,first level,,2195
ireland,2011,male,90 - 94,second level,,1032
ireland,2011,male,90 - 94,third level,,397
ireland,2011,male,95 - 99,first level,,361
ireland,2011,male,95 - 99,second level,,137
ireland,2011,male,95 - 99,third level,,75
ireland,2011,female,15 - 19,first level,,14851
ireland,2011,female,15 - 19,second level,,107294
ireland,2011,female,15 - 19,third level,,2348
ireland,2011,female,20 - 24,first level,,4299
ireland,2011,female,20 - 24,second level,,89921
ireland,2011,female,20 - 24,third level,,49716
ireland,2011,female,25 - 29,first level,,6168
ireland,2011,female,25 - 29,second level,,78311
ireland,2011,female,25 - 29,third level,,95644
ireland,2011,female,30 - 34,first level,,6744
ireland,2011,female,30 - 34,second level,,81379
ireland,2011,female,30 - 34,third level,,104309
ireland,2011,female,35 - 39,first level,,7405
ireland,2011,female,35 - 39,second level,,83732
ireland,2011,female,35 - 39,third level,,85010
ireland,2011,female,40 - 44,first level,,8450
ireland,2011,female,40 - 44,second level,,89891
ireland,2011,female,40 - 44,third level,,60953
ireland,2011,female,45 - 49,first level,,11247
ireland,2011,female,45 - 49,second level,,89625
ireland,2011,female,45 - 49,third level,,48133
ireland,2011,female,50 - 54,first level,,15820
ireland,2011,female,50 - 54,second level,,79969
ireland,2011,female,50 - 54,third level,,37121
ireland,2011,female,55 - 59,first level,,24133
ireland,2011,female,55 - 59,second level,,65792
ireland,2011,female,55 - 59,third level,,27436
ireland,2011,female,60 - 64,first level,,32010
ireland,2011,female,60 - 64,second level,,52204
ireland,2011,female,60 - 64,third level,,18521
ireland,2011,female,65 - 69,first level,,29215
ireland,2011,female,65 - 69,second level,,39538
ireland,2011,female,65 - 69,third level,,12243
ireland,2011,female,70 - 74,first level,,25819
ireland,2011,female,70 - 74,second level,,28152
ireland,2011,female,70 - 74,third level,,7631
ireland,2011,female,75 - 79,first level,,23313
ireland,2011,female,75 - 79,second level,,21509
ireland,2011,female,75 - 79,third level,,5130
ireland,2011,female,80 - 84,first level,,18779
ireland,2011,female,80 - 84,second level,,14987
ireland,2011,female,80 - 84,third level,,3340
ireland,2011,female,85 - 89,first level,,12291
ireland,2011,female,85 - 89,second level,,8815
ireland,2011,female,85 - 89,third level,,1938
ireland,2011,female,90 - 94,first level,,5107
ireland,2011,female,90 - 94,second level,,3186
ireland,2011,female,90 - 94,third level,,814
ireland,2011,female,95 - 99,first level,,1226
ireland,2011,female,95 - 99,second level,,688
ireland,2011,female,95 - 99,third level,,192
ireland,2002,male,15 - 19,first level,,22876
ireland,2002,male,15 - 19,second level,,123057
ireland,2002,male,15 - 19,third level,,3616
ireland,2002,male,20 - 24,first level,,7434
ireland,2002,male,20 - 24,second level,,105084
ireland,2002,male,20 - 24,third level,,46567
ireland,2002,male,25 - 29,first level,,8231
ireland,2002,male,25 - 29,second level,,77162
ireland,2002,male,25 - 29,third level,,65064
ireland,2002,male,30 - 34,first level,,9186
ireland,2002,male,30 - 34,second level,,82473
ireland,2002,male,30 - 34,third level,,55108
ireland,2002,male,35 - 39,first level,,11268
ireland,2002,male,35 - 39,second level,,85518
ireland,2002,male,35 - 39,third level,,42893
ireland,2002,male,40 - 44,first level,,15000
ireland,2002,male,40 - 44,second level,,81281
ireland,2002,male,40 - 44,third level,,34274
ireland,2002,male,45 - 49,first level,,24661
ireland,2002,male,45 - 49,second level,,67482
ireland,2002,male,45 - 49,third level,,28562
ireland,2002,male,50 - 54,first level,,39317
ireland,2002,male,50 - 54,second level,,50349
ireland,2002,male,50 - 54,third level,,22206
ireland,2002,male,55 - 59,first level,,41338
ireland,2002,male,55 - 59,second level,,37175
ireland,2002,male,55 - 59,third level,,16948
ireland,2002,male,60 - 64,first level,,35932
ireland,2002,male,60 - 64,second level,,25533
ireland,2002,male,60 - 64,third level,,11276
ireland,2002,male,65 - 69,first level,,32987
ireland,2002,male,65 - 69,second level,,19149
ireland,2002,male,65 - 69,third level,,8072
ireland,2002,male,70 - 74,first level,,28400
ireland,2002,male,70 - 74,second level,,12822
ireland,2002,male,70 - 74,third level,,5442
